%Acm. Venda;Categoria : Marca;Venda Quantidade;Venda Itens;Unitário Médio;Venda Valor;Venda % Partic.;Promoções Valor Venda;Promoc. % Partic.;% Partic. Prom./Vda.;Lucratividade Unit.;Lucratividade Valor;Lucrat. % Partic.;Lucrat. Marg %;% Mark Up;% Mark Down;Custo Bruto;Custo Líquido;Despesa Venda;Compror;Comissão;Impostos Venda;Valor IBS  Municipal;Valor IBS  Estadual;Valor CBS;Valor IS;Contribuição Valor;Contrib. % Partic.;Contrib. Marg %*;Peso Bruto;Peso Brt %Partic.;Peso Líquido;Volume M ³;Valor Venda Por M³;Custo Fiscal Total;Despesa Fixa;Desconto Fixo;Vlr Descto Fora de NF
15,790;03 - LIMPEZA : FRESCOR LAR;1.359,939;137,000;23,600;32.094,560;15,790;685,430;2,140;2,140;4,970;6.752,430;15,560;21,040;26,650;43,240;25.342,130;24.927,770;692,700;0,000;0,000;2.480,370;112,280;194,250;25,810;5,000;6.059,730;15,760;18,880;96,495;1,210;83,205;0,228;140.765,610;27.822,500;0,000;0,000;0,000
24,080;01 - ALIMENTO :  ** SEM MARCA **;905,053;122,000;18,610;16.843,040;8,290;881,060;5,230;5,230;4,720;4.270,720;9,840;25,360;33,970;40,060;12.572,320;11.908,790;330,520;0,000;0,000;388,340;0,790;91,790;39,470;0,130;3.940,200;10,250;23,390;578,245;7,270;508,534;1,324;12.721,330;12.960,660;0,000;0,000;0,000
31,930;03 - LIMPEZA : PUREZA TOTAL;772,535;121,000;20,640;15.945,120;7,850;1.630,250;10,220;10,220;3,230;2.494,420;5,750;15,640;18,540;37,050;13.450,700;13.587,870;543,800;0,000;0,000;474,250;4,210;142,390;57,400;9,390;1.950,620;5,070;12,230;405,203;5,090;364,019;1,034;15.420,810;13.924,950;0,000;0,000;0,000
39,370;04 - HIGIENE : NATUR CARE;1.156,567;369,000;13,080;15.127,900;7,440;4.401,670;29,100;29,100;2,950;3.406,280;7,850;22,520;29,060;34,480;11.721,620;11.128,530;489,860;0,000;0,000;769,040;37,000;115,320;32,960;13,360;2.916,420;7,590;19,280;355,222;4,460;346,419;0,364;41.560,160;12.490,660;0,000;0,000;0,000
45,430;01 - ALIMENTO : GRAO DOURADO;1.345,978;176,000;9,150;12.315,700;6,060;2.693,470;21,870;21,870;1,720;2.314,360;5,330;18,790;23,140;31,280;10.001,340;9.626,040;175,220;0,000;0,000;814,730;3,040;321,620;94,380;3,240;2.139,140;5,570;17,370;75,846;0,950;72,510;0,183;67.298,910;10.816,070;0,000;0,000;0,000
51,160;04 - HIGIENE : HIGIPLUS;1.388,768;200,000;8,390;11.651,760;5,730;2.161,000;18,550;18,550;2,180;3.032,040;6,990;26,020;35,180;17,740;8.619,720;8.647,040;289,340;0,000;0,000;163,460;4,490;28,870;21,770;1,150;2.742,700;7,140;23,540;256,404;3,220;222,710;0,647;18.008,900;8.783,180;0,000;0,000;0,000
56,530;01 - ALIMENTO : CELEIRO NORTE;605,246;82,000;18,020;10.906,530;5,370;1.601,470;14,680;14,680;5,520;3.340,610;7,700;30,630;44,150;24,030;7.565,920;7.412,940;202,260;0,000;0,000;137,230;4,180;27,590;1,060;0,760;3.138,350;8,160;28,770;662,445;8,320;583,709;0,854;12.771,110;7.703,150;0,000;0,000;0,000
61,120;01 - ALIMENTO : SABOR CASEIRO;598,420;123,000;15,570;9.317,400;4,590;814,050;8,740;8,740;2,560;1.532,130;3,530;16,440;19,680;36,240;7.785,270;7.692,540;98,930;0,000;0,000;725,770;30,210;61,640;19,790;2,660;1.433,200;3,730;15,380;239,295;3,010;219,725;0,446;20.891,030;8.511,040;0,000;0,000;0,000
64,820;02 - BEBIDAS : AGUA CLARA;709,518;50,000;10,590;7.513,800;3,700;1.427,100;18,990;18,990;1,700;1.206,340;2,780;16,050;19,130;41,320;6.307,460;6.395,610;133,280;0,000;0,000;422,270;17,250;93,780;33,550;2,040;1.073,060;2,790;14,280;111,443;1,400;107,725;0,312;24.082,690;6.729,730;0,000;0,000;0,000
68,340;05 - PADARIA : PAO QUENTE;493,258;34,000;14,520;7.162,110;3,520;404,200;5,640;5,640;3,410;1.682,010;3,870;23,480;30,690;33,830;5.480,100;5.350,570;197,170;0,000;0,000;523,410;1,190;58,820;74,620;9,320;1.484,840;3,860;20,730;283,133;3,560;263,488;0,440;16.277,520;6.003,510;0,000;0,000;0,000
